Date,Fatal,Serious,Slight
2017-12-5,5,68,321
2017-12-6,5,46,260
2017-12-7,3,82,355
2017-12-8,7,62,231
2017-12-9,9,80,337
2017-12-10,7,68,341
2017-12-11,4,59,226
2017-12-12,4,60,329
2017-12-13,6,57,328
2017-12-14,4,63,401
2017-12-15,4,84,388
2017-12-16,8,58,302
2017-12-17,2,44,201
2017-12-18,4,78,366
2017-12-19,5,65,319
2017-12-20,6,58,274
2017-12-21,4,63,289
2017-12-22,8,79,306
2017-12-23,7,47,235
2017-12-24,2,32,186
2017-12-25,6,25,106
2017-12-26,5,44,210
2017-12-27,6,44,214
2017-12-28,1,51,244
2017-12-29,7,33,200
2017-12-30,3,46,161
2017-12-31,5,33,150
2018-1-1,6,60,168
2018-1-2,5,78,325
2018-1-3,4,34,193
2018-1-4,6,51,168
2018-1-5,4,54,284
2018-1-6,1,62,267
2018-1-7,7,83,232
2018-1-8,3,55,255
2018-1-9,5,69,254
2018-1-10,6,68,308
2018-1-11,6,71,313
2018-1-12,7,52,279
2018-1-13,6,49,211
2018-1-14,4,41,166
2018-1-15,2,65,274
2018-1-16,3,86,346
2018-1-17,5,50,284
2018-1-18,2,67,315
2018-1-19,5,82,417
2018-1-20,8,40,223
2018-1-21,5,35,200
2018-1-22,5,50,251
2018-1-23,3,54,260
2018-1-24,1,63,289
2018-1-25,8,70,317
2018-1-26,6,80,332
2018-1-27,3,53,252
2018-1-28,5,42,188
2018-1-29,6,63,299
2018-1-30,1,72,328
2018-1-31,2,46,321
2018-2-1,3,36,169
2018-2-2,6,74,352
2018-2-3,1,25,204
2018-2-4,6,34,140
2018-2-5,5,60,313
2018-2-6,2,62,210
2018-2-7,5,71,345
2018-2-8,6,59,255
2018-2-9,5,72,256
2018-2-10,4,55,255
2018-2-11,5,82,411
2018-2-12,2,53,214
2018-2-13,4,74,301
2018-2-14,2,64,281
2018-2-15,5,56,308
2018-2-16,2,68,332
2018-2-17,6,60,275
2018-2-18,2,42,213
2018-2-19,6,52,253
2018-2-20,5,54,274
2018-2-21,2,64,248
2018-2-22,1,50,256
2018-2-23,4,74,286
2018-2-24,8,63,238
2018-2-25,4,50,189
2018-2-26,5,48,202
2018-2-27,7,75,267
2018-2-28,3,38,250
2018-3-1,3,43,212
2018-3-2,5,64,235
2018-3-3,1,26,136
2018-3-4,6,42,207
2018-3-5,4,63,258
2018-3-6,6,69,209
2018-3-7,8,63,383
2018-3-8,5,84,269
2018-3-9,3,72,263
2018-3-10,8,67,275
2018-3-11,5,71,216
2018-3-12,4,55,323
2018-3-13,7,54,278
2018-3-14,3,47,228
2018-3-15,1,59,253
2018-3-16,7,57,273
2018-3-17,6,50,237
2018-3-18,2,27,178
2018-3-19,4,41,255
2018-3-20,3,67,271
2018-3-21,2,68,290
2018-3-22,4,47,244
2018-3-23,5,57,291
2018-3-24,3,52,207
2018-3-25,5,54,165
2018-3-26,5,58,266
2018-3-27,3,51,253
2018-3-28,5,49,244
2018-3-29,2,59,302
2018-3-30,6,46,212
2018-3-31,,51,172
2018-4-1,6,52,237
2018-4-2,3,44,187
2018-4-3,2,40,125
2018-4-4,,45,198
2018-4-5,8,88,291
2018-4-6,6,57,244
2018-4-7,5,67,324
2018-4-8,4,75,230
2018-4-9,1,58,249
2018-4-10,5,64,285
2018-4-11,4,40,189
2018-4-12,9,79,403
2018-4-13,3,61,221
2018-4-14,3,72,240
2018-4-15,6,60,170
2018-4-16,3,53,267
2018-4-17,3,51,227
2018-4-18,6,101,344
2018-4-19,4,88,352
2018-4-20,3,101,349
2018-4-21,5,88,307
2018-4-22,3,58,209
2018-4-23,4,51,243
2018-4-24,2,66,244
2018-4-25,3,65,289
2018-4-26,5,70,300
2018-4-27,2,68,323
2018-4-28,5,63,219
2018-4-29,8,43,160
2018-4-30,6,58,274
2018-5-1,5,49,286
2018-5-2,2,51,274
2018-5-3,4,58,212
2018-5-4,6,69,281
2018-5-5,5,73,267
2018-5-6,7,64,266
2018-5-7,7,86,315
2018-5-8,8,80,248
2018-5-9,1,79,251
2018-5-10,2,77,309
2018-5-11,7,66,280
2018-5-12,4,88,346
2018-5-13,5,50,216
2018-5-14,4,63,317
2018-5-15,6,85,297
2018-5-16,3,63,272
2018-5-17,4,77,336
2018-5-18,9,63,357
2018-5-19,6,74,296
2018-5-20,3,66,228
2018-5-21,9,60,325
2018-5-22,5,78,318
2018-5-23,2,81,295
2018-5-24,3,65,271
2018-5-25,6,78,334
2018-5-26,4,62,258
2018-5-27,2,66,208
2018-5-28,6,66,224
2018-5-29,6,56,248
2018-5-30,7,56,236
2018-5-31,3,45,235
2018-6-1,1,37,223
2018-6-2,6,44,259
2018-6-3,7,40,229
2018-6-4,4,41,221
2018-6-5,7,97,260
2018-6-6,4,68,318
2018-6-7,3,83,311
2018-6-8,4,67,273
2018-6-9,5,81,288
2018-6-10,8,81,280
2018-6-11,7,61,294
2018-6-12,5,80,328
2018-6-13,4,68,274
2018-6-14,,71,330
2018-6-15,3,79,295
2018-6-16,5,76,258
2018-6-17,3,59,201
2018-6-18,7,67,281
2018-6-19,3,71,256
2018-6-20,6,60,304
2018-6-21,4,69,349
2018-6-22,7,91,350
2018-6-23,6,79,233
2018-6-24,4,87,253
2018-6-25,5,74,372
2018-6-26,2,95,350
2018-6-27,3,98,387
2018-6-28,4,89,317
2018-6-29,5,82,397
2018-6-30,5,86,292
2018-7-1,2,39,206
2018-7-2,4,64,300
2018-7-3,5,37,270
2018-7-4,4,43,206
2018-7-5,7,98,242
2018-7-6,9,65,300
2018-7-7,11,88,279
2018-7-8,3,73,265
2018-7-9,2,60,343
2018-7-10,8,49,195
2018-7-11,6,64,327
2018-7-12,6,86,352
2018-7-13,5,82,293
2018-7-14,3,59,251
2018-7-15,3,71,224
2018-7-16,4,81,281
2018-7-17,5,70,269
2018-7-18,2,64,261
2018-7-19,3,68,299
2018-7-20,2,59,277
2018-7-21,5,62,228
2018-7-22,4,55,198
2018-7-23,6,72,253
2018-7-24,3,73,282
2018-7-25,4,81,278
2018-7-26,3,64,305
2018-7-27,5,59,320
2018-7-28,5,58,245
2018-7-29,6,64,217
2018-7-30,6,69,273
2018-7-31,5,70,262
2018-8-1,,59,261
2018-8-2,,47,317
2018-8-3,3,61,284
2018-8-4,5,43,156
2018-8-5,2,81,378
2018-8-6,1,74,267
2018-8-7,5,72,241
2018-8-8,7,59,283
2018-8-9,4,54,226
2018-8-10,6,56,283
2018-8-11,1,74,341
2018-8-12,10,47,230
2018-8-13,4,50,266
2018-8-14,3,51,223
2018-8-15,4,60,237
2018-8-16,10,59,225
2018-8-17,3,69,263
2018-8-18,8,51,208
2018-8-19,6,48,180
2018-8-20,4,59,231
2018-8-21,2,56,247
2018-8-22,7,64,255
2018-8-23,4,67,270
2018-8-24,4,74,264
2018-8-25,7,64,245
2018-8-26,3,56,234
2018-8-27,4,46,158
2018-8-28,2,52,216
2018-8-29,3,60,225
2018-8-30,3,48,253
2018-8-31,7,84,306
2018-9-1,2,47,260
2018-9-2,3,70,332
2018-9-3,1,71,335
2018-9-4,6,48,235
2018-9-5,4,80,297
2018-9-6,2,73,253
2018-9-7,7,59,321
2018-9-8,3,70,301
2018-9-9,10,67,188
2018-9-10,10,79,306
2018-9-11,3,72,334
2018-9-12,9,61,201
2018-9-13,5,68,334
2018-9-14,7,65,327
2018-9-15,8,59,258
2018-9-16,4,67,218
2018-9-17,2,67,292
2018-9-18,5,75,281
2018-9-19,4,68,290
2018-9-20,2,63,304
2018-9-21,4,65,318
2018-9-22,7,69,270
2018-9-23,3,48,234
2018-9-24,7,81,323
2018-9-25,2,70,320
2018-9-26,2,84,311
2018-9-27,10,76,335
2018-9-28,10,89,320
2018-9-29,8,70,284
2018-9-30,5,56,182
2018-10-1,6,75,335
2018-10-2,1,41,234
2018-10-3,4,57,231
2018-10-4,1,39,197
2018-10-5,3,71,328
2018-10-6,2,70,246
2018-10-7,1,73,294
2018-10-8,2,63,324
2018-10-9,7,49,234
2018-10-10,6,98,371
2018-10-11,10,59,288
2018-10-12,3,59,290
2018-10-13,5,66,238
2018-10-14,8,58,235
2018-10-15,6,66,313
2018-10-16,3,61,293
2018-10-17,3,61,273
2018-10-18,6,69,265
2018-10-19,6,79,335
2018-10-20,6,82,251
2018-10-21,7,62,226
2018-10-22,4,58,294
2018-10-23,3,52,264
2018-10-24,9,77,268
2018-10-25,6,62,257
2018-10-26,8,73,353
2018-10-27,3,58,254
2018-10-28,9,61,191
2018-10-29,3,66,309
2018-10-30,1,55,242
2018-10-31,4,84,313
2018-11-1,7,64,302
2018-11-2,4,45,222
2018-11-3,6,50,195
2018-11-4,2,51,212
2018-11-5,2,54,317
2018-11-6,3,81,305
2018-11-7,4,68,320
2018-11-8,6,71,216
2018-11-9,4,69,272
2018-11-10,5,68,287
2018-11-11,9,57,251
2018-11-12,6,85,323
2018-11-13,4,75,342
2018-11-14,1,65,319
2018-11-15,3,75,295
2018-11-16,7,68,304
2018-11-17,6,70,238
2018-11-18,8,62,202
2018-11-19,1,55,306
2018-11-20,5,63,311
2018-11-21,6,80,319
2018-11-22,3,73,328
2018-11-23,3,74,328
2018-11-24,11,54,250
2018-11-25,2,51,181
2018-11-26,3,67,293
2018-11-27,5,79,355
2018-11-28,5,68,330
2018-11-29,3,83,301
2018-11-30,9,83,396
2018-12-1,3,74,316
2018-12-2,7,81,299
2018-12-3,3,48,242
2018-12-4,1,41,193
2018-12-5,9,68,250
2018-12-6,5,69,272
2018-12-7,2,69,297
2018-12-8,3,50,188
2018-12-9,1,68,289
2018-12-10,7,79,303
2018-12-11,5,69,342
2018-12-12,3,74,312
2018-12-13,6,85,292
2018-12-14,8,84,310
2018-12-15,3,59,285
2018-12-16,4,52,232
2018-12-17,4,59,311
2018-12-18,4,87,330
2018-12-19,3,54,342
2018-12-20,4,61,265
2018-12-21,8,59,296
2018-12-22,10,64,232
2018-12-23,7,54,213
2018-12-24,3,57,215
2018-12-25,5,33,92
2018-12-26,4,36,134
2018-12-27,4,43,184
2018-12-28,6,58,174
2018-12-29,6,42,172
2018-12-30,3,26,154
2018-12-31,6,47,149
